title,body,labels,milestone
"End-to-End Test: AI Chat Control","Goal: Validate the full chat → AI → command pipeline.\n\nTasks:\n- Test movement-only commands via chat.\n- Test centering and getting-closer commands when objects are visible.\n- Try invalid or ambiguous commands.\n- Measure response times.\n\nAcceptance Criteria:\n- Most common phrasing works as intended.\n- Latency is acceptable for interactive use.\n- No crashes on malformed inputs.","testing;ai;integration;high","Milestone 3"
"Implement Photo Capture Endpoint","Goal: Allow single-frame photo capture from the camera.\n\nTasks:\n- Add `POST /camera/capture` to save the latest image to disk.\n- Store files under a `photos/` directory with timestamped names.\n- Include drone state and basic image metrics in the response.\n\nAcceptance Criteria:\n- Endpoint saves valid image files.\n- Response contains filename, timestamp, and metadata.\n- Works whether called from UI or chat.","camera;photo;fastapi;high","Milestone 4"
"Implement Burst Photo Mode","Goal: Capture a sequence of photos at fixed intervals.\n\nTasks:\n- Add `POST /camera/burst` accepting count and interval.\n- Loop to capture multiple frames over time.\n- Return list of all photo filenames and basic info.\n\nAcceptance Criteria:\n- Correct number of photos are captured.\n- Intervals are approximately respected.\n- No major performance issues for moderate counts.","camera;photo;burst;medium","Milestone 4"
"Implement Video Recording Start/Stop","Goal: Record video from the camera stream to disk.\n\nTasks:\n- Add `POST /camera/record/start` and `/camera/record/stop`.\n- Use OpenCV VideoWriter to write frames while recording flag is set.\n- Save files under `videos/` with timestamped names.\n\nAcceptance Criteria:\n- Recorded videos play back correctly.\n- Duration roughly matches recording time.\n- No major frame drops in short tests.","camera;video;streaming;high","Milestone 4"
"Define Trajectory Format & Examples","Goal: Describe reusable drone trajectories as data.\n\nTasks:\n- Design a JSON structure for waypoints and actions.\n- Create a small set of example trajectories (circle, line, etc.).\n- Store them under a `trajectories/` folder.\n\nAcceptance Criteria:\n- Trajectory files parse correctly.\n- Structure is flexible enough for future expansion.\n- Examples cover basic use cases.","trajectory;planning;medium","Milestone 4"
"Implement Trajectory Executor","Goal: Execute predefined trajectories by following waypoints.\n\nTasks:\n- Implement a function to load a trajectory by name.\n- For each waypoint, move the drone toward the target position.\n- Trigger actions like photo capture at specified points.\n- Optionally log the flight path.\n\nAcceptance Criteria:\n- Drone follows a simple test trajectory in Gazebo.\n- Photos/videos are taken at the correct waypoints.\n- Execution handles basic errors (e.g., cannot reach waypoint).","trajectory;autonomous;planning;high","Milestone 4"
"Integrate Photo & Video into Chat","Goal: Allow chat commands to trigger media capture.\n\nTasks:\n- Add intents for TAKE_PHOTO, START_RECORDING, STOP_RECORDING.\n- Connect these intents to the camera endpoints.\n- Update chat responses to mention created files.\n\nAcceptance Criteria:\n- \"Take a photo\" via chat captures and returns a file reference.\n- \"Start recording\" and \"stop recording\" work as expected.\n- Errors (e.g., stopping when not recording) are handled cleanly.","chat;photo;video;medium","Milestone 4"
"Test All Media Features","Goal: Verify reliability of photo, burst, video, and trajectories.\n\nTasks:\n- Manually test single photo and burst modes.\n- Record several short videos and play them back.\n- Run a full trajectory while recording.\n- Look for performance or stability issues.\n\nAcceptance Criteria:\n- Media files are valid and correctly saved.\n- No crashes under normal usage patterns.\n- Behavior matches user expectations.","testing;media;integration;high","Milestone 4"
"Add Unit Tests for Core Modules","Goal: Improve confidence via automated tests.\n\nTasks:\n- Add tests for intent parser, image processor, and instruction generator.\n- Mock ROS bridge for route tests.\n- Use pytest and measure coverage.\n\nAcceptance Criteria:\n- Unit test suite runs successfully.\n- Reasonable coverage on core logic (e.g., ≥ 70–80%).","testing;unit-tests;high","Milestone 4"
"Performance Profiling & Optimization","Goal: Ensure system is performant for interactive use.\n\nTasks:\n- Profile image processing functions.\n- Profile chat endpoint end-to-end.\n- Optimize hotspots (e.g., downscale images, reuse buffers).\n\nAcceptance Criteria:\n- Image processing stays within budgeted time.\n- Chat responses remain responsive.\n- No obvious memory leaks or runaway CPU use.","optimization;performance;medium","Milestone 4"
"Write Documentation (README, Guides)","Goal: Document setup, usage, and architecture.\n\nTasks:\n- Write a clear README with features and quickstart.\n- Add setup guide for ROS 2, Gazebo, and Python env.\n- Add basic user guide for manual and chat modes.\n\nAcceptance Criteria:\n- New users can set up and run the project from docs.\n- Basic workflows are explained with examples.\n- Key architectural decisions are described.","documentation;high","Milestone 4"
"End-to-End System Validation","Goal: Run realistic scenarios to validate the whole system.\n\nTasks:\n- Run a full manual control session from the UI.\n- Run a full chat-driven session.\n- Execute at least one trajectory with media capture.\n- Observe logs and resource usage.\n\nAcceptance Criteria:\n- No critical errors across major flows.\n- System remains stable for extended sessions.\n- Behavior matches project goals.","testing;integration;system;high","Milestone 4"
"Final Bug Fixing & Polish","Goal: Clean up remaining issues and smooth the experience.\n\nTasks:\n- Fix bugs discovered during testing.\n- Improve error messages and logging.\n- Polish the UI visuals and small UX details.\n\nAcceptance Criteria:\n- No known critical or high-severity bugs remain.\n- UI feels reasonably polished for a hobby project.\n- Logs are readable and useful for debugging.","bug-fixes;polish;medium","Milestone 4"
"Project Retrospective & Future Roadmap","Goal: Reflect on the project and outline possible next steps.\n\nTasks:\n- Write a short retrospective on what worked and what didn’t.\n- List technical debt and potential improvements.\n- Sketch a roadmap (e.g., real drone, better detection, voice control).\n\nAcceptance Criteria:\n- Retrospective and roadmap are committed to the repo.\n- Future work items are captured as GitHub issues or notes.","documentation;planning;low","Milestone 4"
